test_id,policy_id,state_id,profile_id,selected_path,score,bottleneck_fidelity,cycles,status
0,3,0,1,0,0,62000,8,0
1,3,0,1,1,0,62000,8,0
2,3,0,1,0,0,62000,110,0
3,3,0,1,255,0,0,7,1
4,3,0,0,255,0,0,1,2
5,3,0,1,0,0,62000,8,0
6,3,80,2,0,0,62000,8,0
7,3,98,1,0,0,62000,8,0
8,3,173,3,0,0,62000,8,0
9,3,164,0,0,0,62000,8,0
10,3,0,1,0,0,62000,8,0
11,3,25,1,0,0,62000,8,0
12,3,25,1,0,0,62000,8,0
13,3,25,1,0,0,62000,8,0
14,3,17,1,0,0,62000,8,0
15,3,17,1,0,0,62000,8,0
16,3,17,1,0,0,62000,8,0
17,3,104,0,0,0,62000,8,0
18,3,104,0,0,0,62000,8,0
19,3,104,0,0,0,62000,8,0
1000,3,40,1,0,65474,61286,310,0
1001,3,36,1,1,65468,61234,310,0
1002,3,100,0,0,65531,62862,310,0
1003,3,100,0,0,0,61520,8,0
1004,3,54,1,0,62414,62449,310,0
1005,3,117,0,1,127950,63661,310,0
1006,3,37,1,0,0,63058,310,0
1007,3,166,1,255,0,0,7,1
1008,3,37,1,1,65515,63040,310,0
1009,3,57,1,1,0,64393,310,0
1010,3,85,2,0,65529,60475,310,0
1011,3,166,1,1,0,63744,8,0
1012,3,38,1,0,0,62648,310,0
1013,3,101,0,1,131006,60407,310,0
1014,3,85,2,0,0,61847,310,0
1015,3,0,0,255,0,0,1,2
1016,3,133,2,0,0,59981,310,0
1017,3,138,2,1,65532,59847,310,0
1018,3,154,2,0,65530,61098,310,0
1019,3,182,1,0,0,65080,8,0
1020,3,134,2,0,0,59813,310,0
1021,3,148,2,0,65524,61252,310,0
1022,3,164,0,0,131020,59603,310,0
1023,3,181,0,255,0,0,7,1
1024,3,133,2,1,65508,59372,310,0
1025,3,150,2,1,0,58982,210,0
1026,3,168,0,0,130790,62312,310,0
1027,3,185,0,1,0,63446,8,0
1028,3,70,2,0,65532,60703,310,0
1029,3,89,2,0,65495,59515,310,0
1030,3,166,1,0,65234,62328,310,0
1031,3,180,0,1,130946,61982,310,0
1032,3,160,0,0,131010,60167,310,0
1033,3,165,0,1,130820,61948,310,0
1034,3,186,1,1,65524,65535,310,0
1035,3,191,1,0,0,65242,8,0
1036,3,160,0,0,131022,59445,310,0
1037,3,165,0,1,0,60678,310,0
1038,3,106,1,1,65523,61295,310,0
1039,3,111,1,255,0,0,7,1
1040,3,176,0,0,0,63736,310,0
1041,3,165,0,1,65528,63101,310,0
1042,3,186,1,0,0,64352,310,0
1043,3,175,1,1,0,60556,8,0
1044,3,144,2,1,65531,62642,310,0
1045,3,181,0,1,130430,62691,310,0
1046,3,170,1,0,65452,60356,310,0
1047,3,0,0,255,0,0,1,2
1048,3,27,1,1,65524,60865,310,0
1049,3,197,2,1,0,58982,210,0
1050,3,91,2,0,0,58982,210,0
1051,3,16,1,0,0,60768,8,0
1052,3,177,0,0,130004,64910,310,0
1053,3,118,1,0,65522,65535,310,0
1054,3,176,0,0,131024,61827,310,0
1055,3,172,3,255,0,0,7,1
1056,3,76,2,0,0,59367,310,0
1057,3,50,1,1,65433,63931,310,0
1058,3,223,2,0,0,61413,310,0
1059,3,2,1,1,0,58982,8,0
1060,3,71,2,0,0,58982,210,0
1061,3,112,0,1,0,64427,310,0
1062,3,168,0,0,130922,62081,310,0
1063,3,237,3,1,0,63930,310,0
