comparison,environment_seed,h4_mean_total_reward,comparator_mean_total_reward,paired_difference
h4_revised_seed_229_minus_h2_forced_fixed,2003,4.674653872603,4.604467992945,0.070185879658
h4_revised_seed_229_minus_h2_forced_fixed,2111,4.679843303181,4.618010458292,0.061832844889
h4_revised_seed_229_minus_h2_forced_fixed,2203,4.679273610829,4.613565208988,0.065708401841
h4_revised_seed_229_minus_h2_forced_fixed,2309,4.674546643136,4.616052741746,0.058493901390
h4_revised_seed_229_minus_h3_threshold,2003,4.674653872603,4.626430047817,0.048223824786
h4_revised_seed_229_minus_h3_threshold,2111,4.679843303181,4.629923837881,0.049919465300
h4_revised_seed_229_minus_h3_threshold,2203,4.679273610829,4.632750507739,0.046523103090
h4_revised_seed_229_minus_h3_threshold,2309,4.674546643136,4.627888806072,0.046657837064
