test_id,policy_id,state_id,profile_id,selected_path,score,bottleneck_fidelity,cycles,status
1012,2,38,0,0,0,62648,310,0
1012,3,38,1,0,0,62648,310,0
1012,4,38,2,0,0,62648,312,0
1013,0,101,0,0,0,62457,2,0
1013,1,101,0,1,0,60407,309,0
1013,2,101,0,1,131006,60407,310,0
1013,3,101,0,1,131006,60407,310,0
1013,4,101,0,1,131006,60407,312,0
1014,0,85,0,1,0,60269,2,0
1014,1,85,0,0,0,61847,309,0
1014,2,85,0,0,0,61847,310,0
1014,3,85,2,0,0,61847,310,0
1014,4,85,0,0,0,61847,312,0
1015,0,0,0,255,0,0,1,2
1015,1,0,0,255,0,0,1,2
1015,2,0,0,255,0,0,1,2
1015,3,0,0,255,0,0,1,2
1015,4,0,0,255,0,0,1,2
1016,0,133,0,0,0,59981,2,0
1016,1,133,0,0,0,59981,309,0
1016,2,133,0,0,0,59981,310,0
1016,3,133,2,0,0,59981,310,0
1016,4,133,0,0,0,59981,312,0
1017,0,138,0,1,0,59847,2,0
1017,1,138,0,1,0,59847,309,0
1017,2,138,0,1,65532,59847,310,0
1017,3,138,2,1,65532,59847,310,0
1017,4,138,0,1,65532,59847,312,0
1018,0,154,0,1,0,59232,2,0
1018,1,154,0,0,0,61098,309,0
1018,2,154,0,0,65530,61098,310,0
1018,3,154,2,0,65530,61098,310,0
1018,4,154,3,0,65530,61098,312,0
1019,0,182,0,0,0,65080,2,0
1019,1,182,0,0,0,65080,7,0
1019,2,182,0,0,0,65080,8,0
1019,3,182,1,0,0,65080,8,0
1019,4,182,3,0,0,65080,10,0
1020,0,134,0,1,0,59499,2,0
1020,1,134,0,0,0,59813,309,0
1020,2,134,0,0,0,59813,310,0
1020,3,134,2,0,0,59813,310,0
1020,4,134,3,0,0,59813,312,0
1021,0,148,0,0,0,61252,2,0
1021,1,148,0,1,0,60118,309,0
1021,2,148,0,1,130954,60118,310,0
1021,3,148,2,0,65524,61252,310,0
1021,4,148,2,0,65524,61252,312,0
1022,0,164,0,1,0,62213,2,0
1022,1,164,0,0,0,59603,309,0
1022,2,164,0,0,131020,59603,310,0
1022,3,164,0,0,131020,59603,310,0
1022,4,164,2,1,65531,62213,312,0
1023,0,181,0,255,0,0,2,1
1023,1,181,0,255,0,0,6,1
1023,2,181,0,255,0,0,7,1
1023,3,181,0,255,0,0,7,1
1023,4,181,2,255,0,0,9,1
1024,0,133,0,1,0,59372,2,0
1024,1,133,0,0,0,58982,309,0
1024,2,133,0,0,130734,58982,310,0
1024,3,133,2,1,65508,59372,310,0
1024,4,133,0,0,130734,58982,312,0
1025,0,150,0,0,0,58982,2,0
1025,1,150,0,1,0,58982,209,0
1025,2,150,0,1,0,58982,210,0
1025,3,150,2,1,0,58982,210,0
1025,4,150,0,1,0,58982,212,0
1026,0,168,0,0,0,62312,2,0
1026,1,168,0,0,0,62312,309,0
1026,2,168,0,0,130790,62312,310,0
1026,3,168,0,0,130790,62312,310,0
1026,4,168,0,0,130790,62312,312,0
1027,0,185,0,1,0,63446,2,0
1027,1,185,0,1,0,63446,7,0
1027,2,185,0,1,0,63446,8,0
1027,3,185,0,1,0,63446,8,0
1027,4,185,2,1,0,63446,10,0
1028,0,70,0,1,0,58982,2,0
1028,1,70,0,0,0,60703,309,0
1028,2,70,0,0,65532,60703,310,0
1028,3,70,2,0,65532,60703,310,0
1028,4,70,2,0,65532,60703,312,0
1029,0,89,0,0,0,59515,2,0
1029,1,89,0,1,0,58982,309,0
1029,2,89,0,1,130824,58982,310,0
1029,3,89,2,0,65495,59515,310,0
1029,4,89,2,0,65495,59515,312,0
1030,0,166,0,0,0,62328,2,0
1030,1,166,0,0,0,62328,309,0
1030,2,166,0,0,130468,62328,310,0
1030,3,166,1,0,65234,62328,310,0
1030,4,166,3,0,65234,62328,312,0
1031,0,180,0,1,0,61982,2,0
1031,1,180,0,1,0,61982,309,0
1031,2,180,0,1,130946,61982,310,0
1031,3,180,0,1,130946,61982,310,0
1031,4,180,3,1,65534,61982,312,0
1032,0,160,0,0,0,60167,2,0
1032,1,160,0,0,0,60167,309,0
1032,2,160,0,0,131010,60167,310,0
1032,3,160,0,0,131010,60167,310,0
1032,4,160,3,0,65528,60167,312,0
1033,0,165,0,0,0,62473,2,0
1033,1,165,0,1,0,61948,309,0
1033,2,165,0,1,130820,61948,310,0
1033,3,165,0,1,130820,61948,310,0
1033,4,165,0,1,130820,61948,312,0
1034,0,186,0,0,0,62513,2,0
1034,1,186,0,0,0,62513,309,0
1034,2,186,0,0,131026,62513,310,0
1034,3,186,1,1,65524,65535,310,0
1034,4,186,0,0,131026,62513,312,0
1035,0,191,0,0,0,65242,2,0
1035,1,191,0,0,0,65242,7,0
1035,2,191,0,0,0,65242,8,0
1035,3,191,1,0,0,65242,8,0
1035,4,191,0,0,0,65242,10,0
1036,0,160,0,1,0,62141,2,0
1036,1,160,0,0,0,59445,309,0
1036,2,160,0,0,131022,59445,310,0
1036,3,160,0,0,131022,59445,310,0
1036,4,160,1,0,65511,59445,312,0
1037,0,165,0,0,0,60264,2,0
1037,1,165,0,1,0,60678,309,0
1037,2,165,0,1,0,60678,310,0
1037,3,165,0,1,0,60678,310,0
1037,4,165,1,1,0,60678,312,0
1038,0,106,0,0,0,62659,2,0
1038,1,106,0,0,0,62659,309,0
1038,2,106,0,0,65532,62659,310,0
1038,3,106,1,1,65523,61295,310,0
1038,4,106,1,1,65523,61295,312,0
1039,0,111,0,255,0,0,2,1
1039,1,111,0,255,0,0,6,1
1039,2,111,0,255,0,0,7,1
1039,3,111,1,255,0,0,7,1
1039,4,111,0,255,0,0,9,1
1040,0,176,0,1,0,62742,2,0
1040,1,176,0,0,0,63736,309,0
1040,2,176,0,0,0,63736,310,0
1040,3,176,0,0,0,63736,310,0
1040,4,176,0,0,0,63736,312,0
1041,0,165,0,1,0,63101,2,0
1041,1,165,0,1,0,63101,309,0
1041,2,165,0,1,65528,63101,310,0
1041,3,165,0,1,65528,63101,310,0
1041,4,165,0,1,65528,63101,312,0
1042,0,186,0,1,0,62923,2,0
1042,1,186,0,0,0,64352,309,0
1042,2,186,0,0,0,64352,310,0
1042,3,186,1,0,0,64352,310,0
1042,4,186,2,0,0,64352,312,0
1043,0,175,0,1,0,60556,2,0
1043,1,175,0,1,0,60556,7,0
1043,2,175,0,1,0,60556,8,0
1043,3,175,1,1,0,60556,8,0
1043,4,175,2,1,0,60556,10,0
1044,0,144,0,0,0,60662,2,0
1044,1,144,0,0,0,60662,309,0
1044,2,144,0,0,131004,60662,310,0
1044,3,144,2,1,65531,62642,310,0
1044,4,144,2,1,65531,62642,312,0
1045,0,181,0,1,0,62691,2,0
1045,1,181,0,1,0,62691,309,0
1045,2,181,0,1,130430,62691,310,0
1045,3,181,0,1,130430,62691,310,0
1045,4,181,0,1,130430,62691,312,0
1046,0,170,0,0,0,60356,2,0
