context_id,design_point,wns_ns,whs_ns,approx_fmax_mhz,note
CTX01,tc5_post_synth,0.033,,101.885,Top-level post-synthesis timing closure point
CTX02,ooc_post_route,0.039,0.098,100.392,OOC post-route timing closure point
