topology,algorithm,rate,seed,blocking_probability,mean_bottleneck_fidelity,mean_distance_km,mean_hops,mean_max_utilization,mean_decision_latency_ms,requests,served,blocked
mesh16,ga_tcheby_proxy,50,1,0.9395,0.9433098925619833,3.8175,0.162,0.00236226102,0.5,2000,121,1879
mesh16,ga_tcheby_proxy,50,2,0.9395,0.9433098925619833,3.8175,0.162,0.00236226102,0.5,2000,121,1879
mesh16,ga_tcheby_proxy,50,3,0.9395,0.9433098925619833,3.8175,0.162,0.00236226102,0.5,2000,121,1879
mesh16,ga_tcheby_proxy,100,1,0.9955,0.9211376666666666,0.3495,0.015,2.3788705000000002e-05,0.5,2000,9,1991
mesh16,ga_tcheby_proxy,100,2,0.9955,0.9211376666666666,0.3495,0.015,2.3788705000000002e-05,0.5,2000,9,1991
mesh16,ga_tcheby_proxy,100,3,0.9955,0.9211376666666666,0.3495,0.015,2.3788705000000002e-05,0.5,2000,9,1991
mesh16,keyaware,20,1,0.715,0.9602572807017543,18.5395,0.793,0.04747726036,0.05,2000,570,1430
mesh16,keyaware,20,2,0.715,0.9602572807017543,18.5395,0.793,0.04747726036,0.05,2000,570,1430
mesh16,keyaware,20,3,0.715,0.9602572807017543,18.5395,0.793,0.04747726036,0.05,2000,570,1430
mesh16,keyaware,50,1,0.9445,0.939517207207207,3.6705,0.156,0.002158656085,0.05,2000,111,1889
mesh16,keyaware,50,2,0.9445,0.939517207207207,3.6705,0.156,0.002158656085,0.05,2000,111,1889
mesh16,keyaware,50,3,0.9445,0.939517207207207,3.6705,0.156,0.002158656085,0.05,2000,111,1889
mesh16,keyaware,100,1,0.9975,0.9214392,0.1725,0.0075,1.264792e-05,0.05,2000,5,1995
mesh16,keyaware,100,2,0.9975,0.9214392,0.1725,0.0075,1.264792e-05,0.05,2000,5,1995
mesh16,keyaware,100,3,0.9975,0.9214392,0.1725,0.0075,1.264792e-05,0.05,2000,5,1995
mesh16,random,20,1,0.7205,0.9541034830053665,34.22,1.4585,0.06300234799,0.01,2000,559,1441
mesh16,random,20,2,0.7205,0.9541034830053665,34.22,1.4585,0.06300234799,0.01,2000,559,1441
mesh16,random,20,3,0.7205,0.9541034830053665,34.22,1.4585,0.06300234799,0.01,2000,559,1441
mesh16,random,50,1,0.9465,0.9288221028037384,6.063,0.258,0.00351513842,0.01,2000,107,1893
mesh16,random,50,2,0.9465,0.9288221028037384,6.063,0.258,0.00351513842,0.01,2000,107,1893
mesh16,random,50,3,0.9465,0.9288221028037384,6.063,0.258,0.00351513842,0.01,2000,107,1893
mesh16,random,100,1,0.993,0.9158731428571427,0.821,0.035,9.979439000000001e-05,0.01,2000,14,1986
mesh16,random,100,2,0.993,0.9158731428571427,0.821,0.035,9.979439000000001e-05,0.01,2000,14,1986
mesh16,random,100,3,0.993,0.9158731428571427,0.821,0.035,9.979439000000001e-05,0.01,2000,14,1986
mesh9,distance,20,1,0.6855,0.9611304467408583,13.533,0.646,0.054911182805,0.02,2000,629,1371
mesh9,distance,20,2,0.6855,0.9611304467408583,13.533,0.646,0.054911182805,0.02,2000,629,1371
mesh9,distance,20,3,0.6855,0.9611304467408583,13.533,0.646,0.054911182805,0.02,2000,629,1371
mesh9,distance,50,1,0.938,0.9488161612903225,2.505,0.1195,0.0027669056900000003,0.02,2000,124,1876
mesh9,distance,50,2,0.938,0.9488161612903225,2.505,0.1195,0.0027669056900000003,0.02,2000,124,1876
mesh9,distance,50,3,0.938,0.9488161612903225,2.505,0.1195,0.0027669056900000003,0.02,2000,124,1876
mesh9,distance,100,1,0.9915,0.9276347647058824,0.285,0.0135,5.128369e-05,0.02,2000,17,1983
mesh9,distance,100,2,0.9915,0.9276347647058824,0.285,0.0135,5.128369e-05,0.02,2000,17,1983
mesh9,distance,100,3,0.9915,0.9276347647058824,0.285,0.0135,5.128369e-05,0.02,2000,17,1983
mesh9,ga_tcheby_proxy,20,1,0.682,0.9610911776729558,13.796,0.658,0.05518700188,0.5,2000,636,1364
mesh9,ga_tcheby_proxy,20,2,0.682,0.9610911776729558,13.796,0.658,0.05518700188,0.5,2000,636,1364
mesh9,ga_tcheby_proxy,20,3,0.682,0.9610911776729558,13.796,0.658,0.05518700188,0.5,2000,636,1364
mesh9,ga_tcheby_proxy,50,1,0.949,0.9499162549019606,2.329,0.111,0.001959543515,0.5,2000,102,1898
mesh9,ga_tcheby_proxy,50,2,0.949,0.9499162549019606,2.329,0.111,0.001959543515,0.5,2000,102,1898
mesh9,ga_tcheby_proxy,50,3,0.949,0.9499162549019606,2.329,0.111,0.001959543515,0.5,2000,102,1898
mesh9,ga_tcheby_proxy,100,1,0.9955,0.9273004444444444,0.148,0.007,1.0560345000000001e-05,0.5,2000,9,1991
mesh9,ga_tcheby_proxy,100,2,0.9955,0.9273004444444444,0.148,0.007,1.0560345000000001e-05,0.5,2000,9,1991
mesh9,ga_tcheby_proxy,100,3,0.9955,0.9273004444444444,0.148,0.007,1.0560345000000001e-05,0.5,2000,9,1991
mesh9,keyaware,20,1,0.6855,0.9623755405405405,13.533,0.646,0.055064192655,0.05,2000,629,1371
mesh9,keyaware,20,2,0.6855,0.9623755405405405,13.533,0.646,0.055064192655,0.05,2000,629,1371
mesh9,keyaware,20,3,0.6855,0.9623755405405405,13.533,0.646,0.055064192655,0.05,2000,629,1371
mesh9,keyaware,50,1,0.938,0.9507034838709677,2.505,0.1195,0.00287674165,0.05,2000,124,1876
mesh9,keyaware,50,2,0.938,0.9507034838709677,2.505,0.1195,0.00287674165,0.05,2000,124,1876
mesh9,keyaware,50,3,0.938,0.9507034838709677,2.505,0.1195,0.00287674165,0.05,2000,124,1876
mesh9,keyaware,100,1,0.9915,0.9283611176470589,0.285,0.0135,6.2955665e-05,0.05,2000,17,1983
mesh9,keyaware,100,2,0.9915,0.9283611176470589,0.285,0.0135,6.2955665e-05,0.05,2000,17,1983
mesh9,keyaware,100,3,0.9915,0.9283611176470589,0.285,0.0135,6.2955665e-05,0.05,2000,17,1983
mesh9,random,20,1,0.69,0.9587423338709677,28.321,1.35,0.09562722264,0.01,2000,620,1380
mesh9,random,20,2,0.69,0.9587423338709677,28.321,1.35,0.09562722264,0.01,2000,620,1380
mesh9,random,20,3,0.69,0.9587423338709677,28.321,1.35,0.09562722264,0.01,2000,620,1380
mesh9,random,50,1,0.939,0.9419426967213116,5.005,0.239,0.00528836381,0.01,2000,122,1878
mesh9,random,50,2,0.939,0.9419426967213116,5.005,0.239,0.00528836381,0.01,2000,122,1878
mesh9,random,50,3,0.939,0.9419426967213116,5.005,0.239,0.00528836381,0.01,2000,122,1878
mesh9,random,100,1,0.9935,0.9237804615384615,0.376,0.018,6.939813e-05,0.01,2000,13,1987
mesh9,random,100,2,0.9935,0.9237804615384615,0.376,0.018,6.939813e-05,0.01,2000,13,1987
mesh9,random,100,3,0.9935,0.9237804615384615,0.376,0.018,6.939813e-05,0.01,2000,13,1987
