transition_index,from_test_id,to_test_id,from_profile_id,to_profile_id
0,7,8,0,1
1,9,10,1,0
2,12,13,0,1
3,15,16,1,2
4,18,19,2,3
5,19,1000,3,0
6,1002,1003,0,1
7,1005,1006,1,0
8,1009,1010,0,2
9,1012,1013,2,0
10,1017,1018,0,3
11,1020,1021,3,2
12,1023,1024,2,0
13,1026,1027,0,2
14,1029,1030,2,3
15,1032,1033,3,0
16,1035,1036,0,1
17,1038,1039,1,0
18,1041,1042,0,2
19,1044,1045,2,0
20,1049,1050,0,2
21,1052,1053,2,0
22,1057,1058,0,3
23,1060,1061,3,0
