test_id,policy_id,state_id,profile_id,selected_path,score,bottleneck_fidelity,cycles,status
0,4,0,0,0,0,62000,10,0
1,4,0,0,1,0,62000,10,0
2,4,0,0,0,0,62000,112,0
3,4,0,0,255,0,0,9,1
4,4,0,0,255,0,0,1,2
5,4,0,0,0,0,62000,10,0
6,4,80,0,0,0,62000,10,0
7,4,98,0,0,0,62000,10,0
8,4,173,1,0,0,62000,10,0
9,4,164,1,0,0,62000,10,0
10,4,0,0,0,0,62000,10,0
11,4,25,0,0,0,62000,10,0
12,4,25,0,0,0,62000,10,0
13,4,25,1,0,0,62000,10,0
14,4,17,1,0,0,62000,10,0
15,4,17,1,0,0,62000,10,0
16,4,17,2,0,0,62000,10,0
17,4,104,2,0,0,62000,10,0
18,4,104,2,0,0,62000,10,0
19,4,104,3,0,0,62000,10,0
1000,4,40,0,0,130948,61286,312,0
1001,4,36,0,1,130936,61234,312,0
1002,4,100,0,0,65531,62862,312,0
1003,4,100,1,0,0,61520,10,0
1004,4,54,1,0,62414,62449,312,0
1005,4,117,1,1,63975,63661,312,0
1006,4,37,0,0,0,63058,312,0
1007,4,166,0,255,0,0,9,1
1008,4,37,0,0,130844,62463,312,0
1009,4,57,0,1,0,64393,312,0
1010,4,85,2,0,65529,60475,312,0
1011,4,166,2,1,0,63744,10,0
1012,4,38,2,0,0,62648,312,0
1013,4,101,0,1,131006,60407,312,0
1014,4,85,0,0,0,61847,312,0
1015,4,0,0,255,0,0,1,2
1016,4,133,0,0,0,59981,312,0
1017,4,138,0,1,65532,59847,312,0
1018,4,154,3,0,65530,61098,312,0
1019,4,182,3,0,0,65080,10,0
1020,4,134,3,0,0,59813,312,0
1021,4,148,2,0,65524,61252,312,0
1022,4,164,2,1,65531,62213,312,0
1023,4,181,2,255,0,0,9,1
1024,4,133,0,0,130734,58982,312,0
1025,4,150,0,1,0,58982,212,0
1026,4,168,0,0,130790,62312,312,0
1027,4,185,2,1,0,63446,10,0
1028,4,70,2,0,65532,60703,312,0
1029,4,89,2,0,65495,59515,312,0
1030,4,166,3,0,65234,62328,312,0
1031,4,180,3,1,65534,61982,312,0
1032,4,160,3,0,65528,60167,312,0
1033,4,165,0,1,130820,61948,312,0
1034,4,186,0,0,131026,62513,312,0
1035,4,191,0,0,0,65242,10,0
1036,4,160,1,0,65511,59445,312,0
1037,4,165,1,1,0,60678,312,0
1038,4,106,1,1,65523,61295,312,0
1039,4,111,0,255,0,0,9,1
1040,4,176,0,0,0,63736,312,0
1041,4,165,0,1,65528,63101,312,0
1042,4,186,2,0,0,64352,312,0
1043,4,175,2,1,0,60556,10,0
1044,4,144,2,1,65531,62642,312,0
1045,4,181,0,1,130430,62691,312,0
1046,4,170,0,0,130904,60356,312,0
1047,4,0,0,255,0,0,1,2
1048,4,27,0,0,130972,59537,312,0
1049,4,197,0,1,0,58982,212,0
1050,4,91,2,0,0,58982,212,0
1051,4,16,2,0,0,60768,10,0
1052,4,177,2,1,65534,65032,312,0
1053,4,118,0,1,131002,63593,312,0
1054,4,176,0,0,131024,61827,312,0
1055,4,172,0,255,0,0,9,1
1056,4,76,0,0,0,59367,312,0
1057,4,50,0,1,130866,63931,312,0
1058,4,223,3,0,0,61413,312,0
1059,4,2,3,1,0,58982,10,0
1060,4,71,3,0,0,58982,212,0
1061,4,112,0,1,0,64427,312,0
1062,4,168,0,0,130922,62081,312,0
1063,4,237,0,1,0,63930,312,0
