test_id,policy_id,state_id,profile_id,selected_path,score,bottleneck_fidelity,cycles,status
0,0,0,0,0,0,62000,2,0
1,0,0,0,1,0,62000,2,0
2,0,0,0,1,0,62000,2,0
3,0,0,0,255,0,0,2,1
4,0,0,0,255,0,0,1,2
5,0,0,0,0,0,62000,2,0
6,0,80,0,0,0,62000,2,0
7,0,98,0,0,0,62000,2,0
8,0,173,0,0,0,62000,2,0
9,0,164,0,0,0,62000,2,0
10,0,0,0,0,0,62000,2,0
11,0,25,0,0,0,62000,2,0
12,0,25,0,0,0,62000,2,0
13,0,25,0,0,0,62000,2,0
14,0,17,0,0,0,62000,2,0
15,0,17,0,0,0,62000,2,0
16,0,17,0,0,0,62000,2,0
17,0,104,0,0,0,62000,2,0
18,0,104,0,0,0,62000,2,0
19,0,104,0,0,0,62000,2,0
1000,0,40,0,0,0,61286,2,0
1001,0,36,0,0,0,62212,2,0
1002,0,100,0,1,0,61275,2,0
1003,0,100,0,0,0,61520,2,0
1004,0,54,0,0,0,62449,2,0
1005,0,117,0,0,0,63702,2,0
1006,0,37,0,0,0,63058,2,0
1007,0,166,0,255,0,0,2,1
1008,0,37,0,0,0,62463,2,0
1009,0,57,0,1,0,64393,2,0
1010,0,85,0,0,0,60475,2,0
1011,0,166,0,1,0,63744,2,0
1012,0,38,0,1,0,62094,2,0
1013,0,101,0,0,0,62457,2,0
1014,0,85,0,1,0,60269,2,0
1015,0,0,0,255,0,0,1,2
1016,0,133,0,0,0,59981,2,0
1017,0,138,0,1,0,59847,2,0
1018,0,154,0,1,0,59232,2,0
1019,0,182,0,0,0,65080,2,0
1020,0,134,0,1,0,59499,2,0
1021,0,148,0,0,0,61252,2,0
1022,0,164,0,1,0,62213,2,0
1023,0,181,0,255,0,0,2,1
1024,0,133,0,1,0,59372,2,0
1025,0,150,0,0,0,58982,2,0
1026,0,168,0,0,0,62312,2,0
1027,0,185,0,1,0,63446,2,0
1028,0,70,0,1,0,58982,2,0
1029,0,89,0,0,0,59515,2,0
1030,0,166,0,0,0,62328,2,0
1031,0,180,0,1,0,61982,2,0
1032,0,160,0,0,0,60167,2,0
1033,0,165,0,0,0,62473,2,0
1034,0,186,0,0,0,62513,2,0
1035,0,191,0,0,0,65242,2,0
1036,0,160,0,1,0,62141,2,0
1037,0,165,0,0,0,60264,2,0
1038,0,106,0,0,0,62659,2,0
1039,0,111,0,255,0,0,2,1
1040,0,176,0,1,0,62742,2,0
1041,0,165,0,1,0,63101,2,0
1042,0,186,0,1,0,62923,2,0
1043,0,175,0,1,0,60556,2,0
1044,0,144,0,0,0,60662,2,0
1045,0,181,0,1,0,62691,2,0
1046,0,170,0,0,0,60356,2,0
1047,0,0,0,255,0,0,1,2
1048,0,27,0,1,0,60865,2,0
1049,0,197,0,1,0,58982,2,0
1050,0,91,0,1,0,58982,2,0
1051,0,16,0,0,0,60768,2,0
1052,0,177,0,1,0,65032,2,0
1053,0,118,0,0,0,65535,2,0
1054,0,176,0,1,0,64712,2,0
1055,0,172,0,255,0,0,2,1
1056,0,76,0,0,0,59367,2,0
1057,0,50,0,0,0,64570,2,0
1058,0,223,0,1,0,58982,2,0
1059,0,2,0,1,0,58982,2,0
1060,0,71,0,0,0,58982,2,0
1061,0,112,0,0,0,63990,2,0
1062,0,168,0,0,0,62081,2,0
1063,0,237,0,0,0,63277,2,0
