lut_entries,mode,x_range,samples,max_abs_error_all,max_rel_error_all,max_abs_error_x0_3,max_rel_error_x0_3,max_abs_error_x0_5,max_rel_error_x0_5,mean_abs_error_all,mean_rel_error_all
256,floor,"[0,8)",200000,0.030757073142849367,0.05044852113885762,0.030757073142849367,0.03185317315468521,0.030757073142849367,0.03263437169288603,0.001962351564059514,0.016090252577244123
256,linear,"[0,8)",200000,0.00012247458988068338,0.04614772679424055,0.00012247458988068338,0.00023791038914096221,0.00012247458988068338,0.0010613079821286489,1.169906040763351e-05,0.00118529456219398
128,floor,"[0,8)",200000,0.06056814873738403,0.08378249872302114,0.06056814873738403,0.06459706288551757,0.06056814873738403,0.06523407940728983,0.003945036470751677,0.03249138750724575
128,linear,"[0,8)",200000,0.0004700133419857089,0.04614772679424055,0.0004700133419857089,0.0005874686969782309,0.0004700133419857089,0.0010613079821286489,4.185722991811861e-05,0.001439291336821464
64,floor,"[0,8)",200000,0.11746779683329422,0.14427125018398423,0.11746779683329422,0.13323500949502337,0.11746779683329422,0.1333375904598349,0.007969850126299863,0.06550643293432126
64,linear,"[0,8)",200000,0.001832308494120416,0.13711709434156583,0.001832308494120416,0.0019862807809485116,0.001832308494120416,0.0021334014434090604,0.0001632533658642123,0.0030194640530533646
