comparison,joint_success_pairs,baseline_mean_fidelity,h4_mean_fidelity,mean_difference,bootstrap_95ci_low,bootstrap_95ci_high,sign_test_p,paired_effect_dz,path_changes
H4_vs_H2,58,61640.034483,61726.500000,86.465517,-23.517241,228.224138,0.218750000000,0.176084,6
H4_vs_H3,58,61804.551724,61726.500000,-78.051724,-242.534483,79.931034,0.453125000000,-0.126716,7
