comparison,evidence_commit,h4_source_path,h4_source_sha256,baseline_source_path,baseline_source_sha256,paired_rows,sampling_unit,bootstrap_repetitions,rng,rng_seed,interval_method,mean_difference_unorm16,ci_95_low_unorm16,ci_95_high_unorm16,higher,lower,ties,exact_two_sided_sign_p,paired_effect_dz,path_changes
H4-H2,290b4ad75eef2af2b9da2f1f281a2b89416cfd24,results/nexys3/p6_step8_h4_physical/board_results.csv,356ff6f177d2d95d3a414e311190ac72f438538e9001a2fa8e4786b6b94ed917,results/nexys3/p6_step6_h2_physical/board_results.csv,9b96c196ac4512f87405e5cb6521edc9d6baec204f578627031e3cb2f4cfaea7,58,jointly_successful_heldout_replay_row,10000,Python_random_Random_MT19937,20260731,paired_nonparametric_percentile_R7_linear_quantiles,86.465517241379,-25.120689655172,226.620689655172,5,1,52,0.218750000000,0.176083658014,6
H4-H3,290b4ad75eef2af2b9da2f1f281a2b89416cfd24,results/nexys3/p6_step8_h4_physical/board_results.csv,356ff6f177d2d95d3a414e311190ac72f438538e9001a2fa8e4786b6b94ed917,results/nexys3/p6_step7_h3_physical/board_results.csv,9e2bf05e5b25605fd63f0b88a70479928944bb538476ad3bbe03285e8c101d7d,58,jointly_successful_heldout_replay_row,10000,Python_random_Random_MT19937,20260731,paired_nonparametric_percentile_R7_linear_quantiles,-78.051724137931,-242.281465517241,77.534482758621,2,5,51,0.453125000000,-0.126715802018,7
