design,lut,ff,bram,dsp,wns_ns,fmax_mhz,json_source,rpt_source,lut_fmt,ff_fmt,bram_fmt,dsp_fmt,wns_fmt,fmax_fmt
Final top-level (post-synth),2991.0,1128.0,16.0,5.0,0.033,101.885,results/phase9g/qflow_top_tc5_synth_summary.json,results/phase9h/qflow_top_tc5_impl_synth_utilization.rpt,2991,1128,16,5,0.033,101.885
OOC reference (post-route),2961.0,1128.0,16.0,5.0,0.039,100.39152695512499,results/phase9h_ooc/qflow_top_tc5_impl_ooc_summary.json,results/phase9h_ooc/qflow_top_tc5_impl_ooc_utilization.rpt,2961,1128,16,5,0.039,100.392
