QF6R,1,0000,0,000,0,000,000000,62000,002,0
QF6R,1,0000,1,000,0,000,000000,62000,007,0
QF6R,1,0000,2,000,0,000,000000,62000,008,0
QF6R,1,0000,3,000,1,000,000000,62000,008,0
QF6R,1,0000,4,000,0,000,000000,62000,010,0
QF6R,1,0001,0,000,0,001,000000,62000,002,0
QF6R,1,0001,1,000,0,001,000000,62000,007,0
QF6R,1,0001,2,000,0,001,000000,62000,008,0
QF6R,1,0001,3,000,1,001,000000,62000,008,0
QF6R,1,0001,4,000,0,001,000000,62000,010,0
QF6R,1,0002,0,000,0,001,000000,62000,002,0
QF6R,1,0002,1,000,0,000,000000,62000,109,0
QF6R,1,0002,2,000,0,000,000000,62000,110,0
QF6R,1,0002,3,000,1,000,000000,62000,110,0
QF6R,1,0002,4,000,0,000,000000,62000,112,0
QF6R,1,0003,0,000,0,255,000000,00000,002,1
QF6R,1,0003,1,000,0,255,000000,00000,006,1
QF6R,1,0003,2,000,0,255,000000,00000,007,1
QF6R,1,0003,3,000,1,255,000000,00000,007,1
QF6R,1,0003,4,000,0,255,000000,00000,009,1
QF6R,1,0004,0,000,0,255,000000,00000,001,2
QF6R,1,0004,1,000,0,255,000000,00000,001,2
QF6R,1,0004,2,000,0,255,000000,00000,001,2
QF6R,1,0004,3,000,0,255,000000,00000,001,2
QF6R,1,0004,4,000,0,255,000000,00000,001,2
QF6R,1,0005,0,000,0,000,000000,62000,002,0
QF6R,1,0005,1,000,0,000,000000,62000,007,0
QF6R,1,0005,2,000,0,000,000000,62000,008,0
QF6R,1,0005,3,000,1,000,000000,62000,008,0
QF6R,1,0005,4,000,0,000,000000,62000,010,0
QF6R,1,0006,0,080,0,000,000000,62000,002,0
QF6R,1,0006,1,080,0,000,000000,62000,007,0
QF6R,1,0006,2,080,0,000,000000,62000,008,0
QF6R,1,0006,3,080,2,000,000000,62000,008,0
QF6R,1,0006,4,080,0,000,000000,62000,010,0
QF6R,1,0007,0,098,0,000,000000,62000,002,0
QF6R,1,0007,1,098,0,000,000000,62000,007,0
QF6R,1,0007,2,098,0,000,000000,62000,008,0
QF6R,1,0007,3,098,1,000,000000,62000,008,0
QF6R,1,0007,4,098,0,000,000000,62000,010,0
QF6R,1,0008,0,173,0,000,000000,62000,002,0
QF6R,1,0008,1,173,0,000,000000,62000,007,0
QF6R,1,0008,2,173,0,000,000000,62000,008,0
QF6R,1,0008,3,173,3,000,000000,62000,008,0
QF6R,1,0008,4,173,1,000,000000,62000,010,0
QF6R,1,0009,0,164,0,000,000000,62000,002,0
QF6R,1,0009,1,164,0,000,000000,62000,007,0
QF6R,1,0009,2,164,0,000,000000,62000,008,0
QF6R,1,0009,3,164,0,000,000000,62000,008,0
QF6R,1,0009,4,164,1,000,000000,62000,010,0
QF6R,1,0010,0,000,0,000,000000,62000,002,0
QF6R,1,0010,1,000,0,000,000000,62000,007,0
QF6R,1,0010,2,000,0,000,000000,62000,008,0
QF6R,1,0010,3,000,1,000,000000,62000,008,0
QF6R,1,0010,4,000,0,000,000000,62000,010,0
QF6R,1,0011,0,025,0,000,000000,62000,002,0
QF6R,1,0011,1,025,0,000,000000,62000,007,0
QF6R,1,0011,2,025,0,000,000000,62000,008,0
QF6R,1,0011,3,025,1,000,000000,62000,008,0
QF6R,1,0011,4,025,0,000,000000,62000,010,0
QF6R,1,0012,0,025,0,000,000000,62000,002,0
QF6R,1,0012,1,025,0,000,000000,62000,007,0
QF6R,1,0012,2,025,0,000,000000,62000,008,0
QF6R,1,0012,3,025,1,000,000000,62000,008,0
QF6R,1,0012,4,025,0,000,000000,62000,010,0
QF6R,1,0013,0,025,0,000,000000,62000,002,0
QF6R,1,0013,1,025,0,000,000000,62000,007,0
QF6R,1,0013,2,025,0,000,000000,62000,008,0
QF6R,1,0013,3,025,1,000,000000,62000,008,0
QF6R,1,0013,4,025,1,000,000000,62000,010,0
QF6R,1,0014,0,017,0,000,000000,62000,002,0
QF6R,1,0014,1,017,0,000,000000,62000,007,0
QF6R,1,0014,2,017,0,000,000000,62000,008,0
QF6R,1,0014,3,017,1,000,000000,62000,008,0
QF6R,1,0014,4,017,1,000,000000,62000,010,0
QF6R,1,0015,0,017,0,000,000000,62000,002,0
QF6R,1,0015,1,017,0,000,000000,62000,007,0
QF6R,1,0015,2,017,0,000,000000,62000,008,0
QF6R,1,0015,3,017,1,000,000000,62000,008,0
QF6R,1,0015,4,017,1,000,000000,62000,010,0
QF6R,1,0016,0,017,0,000,000000,62000,002,0
QF6R,1,0016,1,017,0,000,000000,62000,007,0
QF6R,1,0016,2,017,0,000,000000,62000,008,0
QF6R,1,0016,3,017,1,000,000000,62000,008,0
QF6R,1,0016,4,017,2,000,000000,62000,010,0
QF6R,1,0017,0,104,0,000,000000,62000,002,0
QF6R,1,0017,1,104,0,000,000000,62000,007,0
QF6R,1,0017,2,104,0,000,000000,62000,008,0
QF6R,1,0017,3,104,0,000,000000,62000,008,0
QF6R,1,0017,4,104,2,000,000000,62000,010,0
QF6R,1,0018,0,104,0,000,000000,62000,002,0
QF6R,1,0018,1,104,0,000,000000,62000,007,0
QF6R,1,0018,2,104,0,000,000000,62000,008,0
QF6R,1,0018,3,104,0,000,000000,62000,008,0
QF6R,1,0018,4,104,2,000,000000,62000,010,0
QF6R,1,0019,0,104,0,000,000000,62000,002,0
QF6R,1,0019,1,104,0,000,000000,62000,007,0
QF6R,1,0019,2,104,0,000,000000,62000,008,0
QF6R,1,0019,3,104,0,000,000000,62000,008,0
QF6R,1,0019,4,104,3,000,000000,62000,010,0
QF6R,1,1000,0,040,0,000,000000,61286,002,0
QF6R,1,1000,1,040,0,000,000000,61286,309,0
QF6R,1,1000,2,040,0,000,130948,61286,310,0
QF6R,1,1000,3,040,1,000,065474,61286,310,0
QF6R,1,1000,4,040,0,000,130948,61286,312,0
QF6R,1,1001,0,036,0,000,000000,62212,002,0
QF6R,1,1001,1,036,0,001,000000,61234,309,0
QF6R,1,1001,2,036,0,001,130936,61234,310,0
QF6R,1,1001,3,036,1,001,065468,61234,310,0
QF6R,1,1001,4,036,0,001,130936,61234,312,0
QF6R,1,1002,0,100,0,001,000000,61275,002,0
QF6R,1,1002,1,100,0,000,000000,62862,309,0
QF6R,1,1002,2,100,0,000,065531,62862,310,0
QF6R,1,1002,3,100,0,000,065531,62862,310,0
QF6R,1,1002,4,100,0,000,065531,62862,312,0
QF6R,1,1003,0,100,0,000,000000,61520,002,0
QF6R,1,1003,1,100,0,000,000000,61520,007,0
QF6R,1,1003,2,100,0,000,000000,61520,008,0
QF6R,1,1003,3,100,0,000,000000,61520,008,0
QF6R,1,1003,4,100,1,000,000000,61520,010,0
QF6R,1,1004,0,054,0,000,000000,62449,002,0
QF6R,1,1004,1,054,0,000,000000,62449,309,0
QF6R,1,1004,2,054,0,000,124828,62449,310,0
QF6R,1,1004,3,054,1,000,062414,62449,310,0
QF6R,1,1004,4,054,1,000,062414,62449,312,0
QF6R,1,1005,0,117,0,000,000000,63702,002,0
QF6R,1,1005,1,117,0,001,000000,63661,309,0
QF6R,1,1005,2,117,0,001,127950,63661,310,0
QF6R,1,1005,3,117,0,001,127950,63661,310,0
QF6R,1,1005,4,117,1,001,063975,63661,312,0
QF6R,1,1006,0,037,0,000,000000,63058,002,0
QF6R,1,1006,1,037,0,000,000000,63058,309,0
QF6R,1,1006,2,037,0,000,000000,63058,310,0
QF6R,1,1006,3,037,1,000,000000,63058,310,0
QF6R,1,1006,4,037,0,000,000000,63058,312,0
QF6R,1,1007,0,166,0,255,000000,00000,002,1
QF6R,1,1007,1,166,0,255,000000,00000,006,1
QF6R,1,1007,2,166,0,255,000000,00000,007,1
QF6R,1,1007,3,166,1,255,000000,00000,007,1
QF6R,1,1007,4,166,0,255,000000,00000,009,1
QF6R,1,1008,0,037,0,000,000000,62463,002,0
QF6R,1,1008,1,037,0,000,000000,62463,309,0
