trainer_seed,epoch,transition_count,cumulative_transitions,mean_reward,profile_0_count,profile_1_count,profile_2_count,profile_3_count,distinct_state_count,q_min,q_max,q_table_sha256
17,1,4096,4096,4.452259186004,1146,929,1106,915,104,0.000000000000,32.991432273728,025b6e7670fdf2da5890f7db6092233d5ccda9b1cfb587f58409e9aa14385b70
17,2,4096,8192,4.491878748164,1396,643,1422,635,99,0.000000000000,61.536219355291,9a0f70280564ae2a2f772f1055aed10eba37fa2b5e7b132dda96470af74c2fcf
29,1,4096,4096,4.461408934192,1014,822,1366,894,111,0.000000000000,34.060730714067,f1db201b05817c9646e548c74cb7f99fe7e290f79198cf70f692ed1eb4e7b08d
29,2,4096,8192,4.519984133434,952,579,1978,587,106,0.000000000000,61.571706110401,9ef065acdfcd8e4995da6dd8dd1bce69738e6240de4e2f375a294d5d32cbbb0a
