topology,algorithm,rate,blocking_probability,blocking_ci95,mean_bottleneck_fidelity,fidelity_ci95,mean_max_utilization,util_ci95,mean_hops,mean_distance_km,mean_decision_latency_ms,latency_ci95,total_runs
mesh9,distance,2,0.11052333333333333,0.001058612054817705,0.9701063386297187,2.2062411049488135e-05,0.5988975445771667,0.001037835680002509,1.78207,37.41808666666667,0.02,1.2627498450595217e-18,30
mesh9,keyaware,2,0.11052333333333333,0.001058612054817705,0.970237165061125,1.980321507830336e-05,0.5989584730826001,0.0010358654972990977,1.78207,37.418099999999995,0.05,5.050999380238087e-18,30
mesh9,random,2,0.10944,0.0011280735216929914,0.968776550103001,3.726510294626731e-05,0.7226614951844,0.0010465630917539017,4.17111,87.58373333333334,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,2,0.11017666666666666,0.0010289569084208398,0.9702636395237492,2.7187259046588524e-05,0.5983611742487,0.0010532978219783698,1.78299,37.43571333333333,0.5,0.0,30
mesh9,distance,5,0.25250666666666666,0.0018821240330299184,0.9685615601646114,3.4655533654863165e-05,0.48014101979513335,0.0015331514246860233,1.5051033333333335,31.592813333333332,0.02,1.2627498450595217e-18,30
mesh9,keyaware,5,0.25250666666666666,0.0018821240330299184,0.9688829823550336,3.182113100365249e-05,0.4802422158088,0.0015307801797322647,1.5051033333333335,31.592813333333332,0.05,5.050999380238087e-18,30
mesh9,random,5,0.25321,0.001380801424460848,0.9668345716967519,5.7406629311227626e-05,0.5873983623666333,0.0013414223971037068,3.45733,72.5894,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,5,0.25199666666666665,0.0017893376619164112,0.9688610727521155,4.5921547711144006e-05,0.47925952717416664,0.0013998649293449892,1.50306,31.54892,0.5,0.0,30
mesh9,distance,10,0.4430133333333333,0.0015580482660646224,0.9659749541033331,6.248546727678208e-05,0.3266799022317667,0.001314489569334063,1.1285033333333334,23.677266666666664,0.02,1.2627498450595217e-18,30
mesh9,keyaware,10,0.4430133333333333,0.0015580482660646224,0.9665570492974552,6.441355344450509e-05,0.3269266099527333,0.0013123185879158911,1.1285033333333334,23.67728,0.05,5.050999380238087e-18,30
mesh9,random,10,0.4416366666666667,0.001761005726056297,0.9638867549222343,5.548344599386478e-05,0.4141015097993,0.001607428575346566,2.53996,53.31287333333333,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,10,0.44255666666666665,0.0017475191709163903,0.9666326654436872,7.664501953261346e-05,0.3257048240162333,0.0014828349339799968,1.1274666666666666,23.655966666666664,0.5,0.0,30
mesh9,distance,20,0.6885533333333334,0.0018707297756864452,0.9612350717608276,0.00011788829345013418,0.14559557586083333,0.0013971571906577,0.6359499999999999,13.332993333333333,0.02,1.2627498450595217e-18,30
mesh9,keyaware,20,0.6885533333333334,0.0018707297756864452,0.9623081524221552,0.0001248208664540681,0.14583431523926665,0.0014129229880863502,0.6359499999999999,13.332993333333333,0.05,5.050999380238087e-18,30
mesh9,random,20,0.6885166666666667,0.0016455276743959839,0.9582163021953573,0.0001445874299755788,0.19721997529273333,0.0013936412666466127,1.3645433333333334,28.626833333333334,0.01,6.313749225297609e-19,30
mesh9,ga_tcheby_proxy,20,0.6897566666666666,0.0019523180415800389,0.9622557503126546,0.00012176685745130828,0.14377699918353332,0.0013566118673235396,0.6318966666666667,13.248053333333333,0.5,0.0,30
