x,exact,approx,abs_error,rel_error
0.00000000,1.000000000000,1.000000000000,0.000000000000e+00,0.000000000000e+00
0.00799960,0.992032311630,0.992126344701,9.403307123845e-05,9.478831499343e-05
0.01599920,0.984128107318,0.984252689403,1.245820845163e-04,1.265913284966e-04
0.02399880,0.976286881243,0.976379034104,9.215286102426e-05,9.439117004926e-05
0.03199840,0.968508131613,0.968520637827,1.250621362348e-05,1.291286383176e-05
0.03999800,0.960791360637,0.960891126879,9.976624171837e-05,1.038375716162e-04
0.04799760,0.953136074487,0.953246356909,1.102824215541e-04,1.157048028147e-04
0.05599720,0.945541783271,0.945616845960,7.506268885993e-05,7.938590360357e-05
0.06399680,0.938008001001,0.938017853056,9.852054162374e-06,1.050316644619e-05
0.07199640,0.930534245561,0.930617227436,8.298187474864e-05,8.917659413880e-05
0.07999600,0.923120038675,0.923231860838,1.118221629288e-04,1.211350184634e-04
0.08799560,0.915764905879,0.915831235218,6.632933923290e-05,7.243053190519e-05
0.09599520,0.908468376488,0.908491645686,2.326919708429e-05,2.561365666269e-05
0.10399480,0.901229983571,0.901319905394,8.992182343637e-05,9.977677737718e-05
0.11199440,0.894049263912,0.894148165103,9.890119072031e-05,1.106216343019e-04
0.11999400,0.886925757990,0.886976424811,5.066682149157e-05,5.712633896936e-05
0.12799360,0.879859009943,0.879896238651,3.722870835343e-05,4.231212948067e-05
0.13599320,0.872848567542,0.872938124666,8.955712416214e-05,1.026032779252e-04
0.14399280,0.865893982162,0.865995269703,1.012875414834e-04,1.169745298732e-04
0.15199240,0.858994808750,0.859037155718,4.234696785532e-05,4.929828146100e-05
0.15999200,0.852150605803,0.852185854887,3.524908375319e-05,4.136485207327e-05
0.16799160,0.845360935332,0.845456626230,9.569089859818e-05,1.131953164605e-04
0.17599120,0.838625362839,0.838712138552,8.677571309679e-05,1.034737523357e-04
0.18399080,0.831943457289,0.831982909895,3.945260687599e-05,4.742222146271e-05
0.19199040,0.825314791080,0.825360494392,4.570331279052e-05,5.537682504241e-05
0.19999000,0.818738940017,0.818829633021,9.069300342301e-05,1.107715768608e-04
0.20798960,0.812215483287,0.812298771649,8.328836202309e-05,1.025446617763e-04
0.21598920,0.805744003427,0.805783169299,3.916587219743e-05,4.860833221330e-05
0.22398880,0.799324086301,0.799374380102,5.029380083132e-05,6.292041199965e-05
0.23198840,0.792955321075,0.793057145037,1.018239618306e-04,1.284107176335e-04
0.23998800,0.786637300186,0.786724650950,8.735076430921e-05,1.110432524476e-04
0.24798760,0.780369619318,0.780392156863,2.253754522485e-05,2.888060307187e-05
0.25598720,0.774151877377,0.774212252995,6.037561714867e-05,7.798936993242e-05
0.26398680,0.767983676467,0.768078126192,9.444972461925e-05,1.229840262409e-04
0.27198640,0.761864621860,0.761943999390,7.937752943621e-05,1.041884964318e-04
0.27998600,0.755794321973,0.755809872587,1.555061402370e-05,2.057519297459e-05
0.28798560,0.749772388344,0.749828336004,5.594765976613e-05,7.461952538651e-05
0.29598520,0.743798435605,0.743877317464,7.888185875959e-05,1.060527355041e-04
0.30398480,0.737872081460,0.737941557946,6.947648589106e-05,9.415790031460e-05
0.31198440,0.731992946658,0.731990539406,2.407251871062e-06,3.288627140536e-06
0.31998400,0.726160654970,0.726222629129,6.197415914055e-05,8.534496976167e-05
0.32798360,0.720374833165,0.720454718853,7.988568749995e-05,1.108946118356e-04
0.33598320,0.714635110985,0.714702067597,6.695661264722e-05,9.369342706230e-05
0.34398280,0.708941121122,0.708934157321,6.963801763904e-06,9.822821044546e-06
0.35198240,0.703292499197,0.703364614328,7.211513167571e-05,1.025393158012e-04
0.35998200,0.697688883730,0.697779812314,9.092858399462e-05,1.303282682512e-04
0.36798160,0.692129916125,0.692195010300,6.509417453160e-05,9.404906942328e-05
0.37598120,0.686615240642,0.686625467308,1.022666543227e-05,1.489431755506e-05
0.38398080,0.681144504375,0.681223773556,7.926918148515e-05,1.163764531257e-04
0.39198040,0.675717357229,0.675806820783,8.946355390804e-05,1.323978923302e-04
0.39998000,0.670333451900,0.670389868009,5.641610913554e-05,8.416126179531e-05
0.40797960,0.664992443852,0.665018692302,2.624845018218e-05,3.947180216086e-05
0.41597920,0.659693991291,0.659769588769,7.559747868924e-05,1.145947661905e-04
0.42397880,0.654437755149,0.654520485237,8.273008834747e-05,1.264139907831e-04
0.43197840,0.649223399058,0.649271381704,4.798264642658e-05,7.390775886421e-05
0.43997800,0.644050589332,0.644083314260,3.272492771311e-05,5.081111368450e-05
0.44797760,0.638918994942,0.638986800946,6.780600448464e-05,1.061261365235e-04
0.45597720,0.633828287496,0.633905546654,7.725915821055e-05,1.218928844526e-04
0.46397680,0.628778141221,0.628824292363,4.615114142947e-05,7.339813267017e-05
0.47197640,0.623768232938,0.623804074159,3.584122049494e-05,5.745919494185e-05
0.47997600,0.618798242043,0.618875410086,7.716804297897e-05,1.247063060880e-04
0.48797560,0.613867850487,0.613946746014,7.889552680940e-05,1.285220047716e-04
0.49597520,0.608976742754,0.609018081941,4.133918717597e-05,6.788303111386e-05
0.50397480,0.604124605843,0.604150453956,2.584811292927e-05,4.278606214558e-05
0.51197440,0.599311129247,0.599374380102,6.325085522907e-05,1.055392635684e-04
0.51997400,0.594536004933,0.594598306249,6.230131603635e-05,1.047898117515e-04
0.52797360,0.589798927321,0.589822232395,2.330507437820e-05,3.951359234252e-05
0.53597320,0.585099593267,0.585137712673,3.811940590359e-05,6.515028610901e-05
0.54397280,0.580437702042,0.580514229038,7.652699572869e-05,1.318435991657e-04
0.55197240,0.575812955314,0.575875486381,6.253106716547e-05,1.085961449606e-04
0.55997200,0.571225057127,0.571252002747,2.694561978034e-05,4.717163479465e-05
0.56797160,0.566673713883,0.566720073243,4.635936074571e-05,8.180961920410e-05
0.57597120,0.562158634323,0.562233920806,7.528648276622e-05,1.339239107426e-04
0.58397080,0.557679529510,0.557747768368,6.823885788998e-05,1.223621350239e-04
0.59197040,0.553236112809,0.553246356909,1.024409979278e-05,1.851668673755e-05
0.59997000,0.548828099867,0.548867017624,3.891775729437e-05,7.091064999005e-05
0.60796960,0.544455208598,0.544518196384,6.298778513791e-05,1.156895629671e-04
0.61596920,0.540117159165,0.540169375143,5.221597807936e-05,9.667528089663e-05
0.62396880,0.535813673957,0.535820553902,6.879945001259e-06,1.284018183120e-05
0.63196840,0.531544477579,0.531578545815,3.406823616225e-05,6.409291714857e-05
0.63996800,0.527309296827,0.527367055772,5.775894478321e-05,1.095352293820e-04
0.64796760,0.523107860675,0.523155565728,4.770505298091e-05,9.119544278942e-05
0.65596720,0.518939900258,0.518944075685,4.175427215869e-06,8.046070872170e-06
0.66396680,0.514805148850,0.514854657816,4.950896687761e-05,9.617030246929e-05
0.67196640,0.510703341852,0.510765239948,6.189809583368e-05,1.212016659401e-04
0.67996600,0.506634216775,0.506675822080,4.160530488173e-05,8.212099282709e-05
0.68796560,0.502597513218,0.502601663233,4.150015271875e-06,8.257134511675e-06
