trainer_seed,epoch,transition_count,cumulative_transitions,mean_reward,profile_0_count,profile_1_count,profile_2_count,profile_3_count,distinct_state_count,q_min,q_max,q_table_sha256
17,1,4096,4096,4.443719074654,1035,1057,992,1012,106,0.000000000000,26.702906804086,e69fffff141dcd8f1c373d9c994813d2c065cab7d799838dba4d8c23b74d9907
17,2,4096,8192,4.446142919120,1020,990,1031,1055,107,0.000000000000,39.373381083501,53f0ef31bf7a914854bceb83a07248cee5bc5cce6f92374266c98f43818dca60
17,3,4096,12288,4.437255867220,996,1042,1002,1056,106,0.000000000000,50.525267923947,14835a0a3d8015b89c17afc5bdb768b5347b2ea879bc4686372b664f11a494c9
17,4,4096,16384,4.450037590976,1089,994,1031,982,103,0.000000000000,58.120581361890,c7beef69ae83340e2a9c9c841c08768deaf7cb98f0045c6db540cba2c0f33d49
17,5,4096,20480,4.454445010149,1054,998,986,1058,104,0.000000000000,65.071988783305,553b65fdb317656b1f07a0c3505d82229edc437b98673f366c32e2820114a8da
17,6,4096,24576,4.442445557237,1051,1003,1065,977,107,0.000000000000,69.979622733803,fe18b79b8b89beaf47601a7461296d204b33797559cbd1701a5ca74b5817a08a
17,7,4096,28672,4.442439216545,1005,1045,1058,988,113,0.000000000000,73.759099803737,2c96316bb943b68a6532b063a99285563a6133f096a950b797d0bacfab333be1
17,8,4096,32768,4.435050649952,1022,1011,1041,1022,100,0.000000000000,76.903016938574,96cf8133aae3c50c1f53df09cb7aaebd09c152f6d6ffd595ad6744c1923dd79c
17,9,4096,36864,4.438921761818,994,1033,1085,984,110,0.000000000000,79.095746908158,60be4c5a737757fab09792047ed625317ea365e93fd605ba12275439460985c8
17,10,4096,40960,4.434325256653,1051,1034,1008,1003,106,0.000000000000,80.997959941711,08e956a2a05631f2ab86f75f1b886bd258d6ec145be863f73fa400846c662b80
17,11,4096,45056,4.445296568883,1035,1003,1035,1023,102,0.000000000000,82.136243070295,0cca1fd3ecc8e13554f35d0993f2786729d2c797002693c78351ba2c28166fd1
17,12,4096,49152,4.442367424012,1085,982,1069,960,106,0.000000000000,83.160220699648,c58bbc014c21e34c74c85e4bd3b7d305ad5204c3b0cbfad0c50b0611ba9dfebf
17,13,4096,53248,4.435316483050,1050,984,1021,1041,103,0.000000000000,83.875840620482,3ea69eadf12c5dd4c01f15542353ba483d87979724f4534adf4469eee356cfed
17,14,4096,57344,4.435666485899,1058,1047,1006,985,106,0.000000000000,85.887025111027,6dea394f38653a7d7de293b5ac90acbf1b1c32ea8f53b88dc41e63089a96c548
17,15,4096,61440,4.444642198513,1031,1004,1035,1026,106,0.000000000000,86.681038116424,635cf58433986adde7dce23e9274585e2ef4ba944c2d3b0b5ed2ccca580f492e
17,16,4096,65536,4.442234201888,1086,1005,967,1038,106,0.000000000000,88.324698909646,2e094ffd57c8a4d4b577feab6cece7699474603fcbc9c627c5c92b448a3f0be4
17,17,4096,69632,4.441633366552,1051,981,1021,1043,105,0.000000000000,88.940775546358,af0d0699bac41f3032c10866d8b5e55e56db171e213a54cfdaf82bca21064229
17,18,4096,73728,4.436002062635,1077,983,954,1082,110,0.000000000000,89.702085254015,404a7bcfb9855d9a0856284e0f7b6970b7c0e7b48c8cd38217b78f88e742b7ed
17,19,4096,77824,4.443756894256,1045,959,1031,1061,101,0.000000000000,90.222302991977,0c95d48aadd21f2c7eab4aaf47dcd4aa821fdb0fef6cb10a511d3661c44ae11f
17,20,4096,81920,4.443570243708,1078,944,1034,1040,104,0.000000000000,90.898607062752,32a500d2935e05bda778fc2dc29b2fd9140cf3f28950a7380d17da13f79ee7ea
17,21,4096,86016,4.443594027283,1115,935,1057,989,104,0.000000000000,90.825695398500,01c0df333e96491238cc670b1110b965a076701a2c0ba406f6c3a91f9bd64253
17,22,4096,90112,4.440493225565,1086,995,991,1024,101,0.000000000000,91.414875092844,7f4210bc8fb90d5c083b96672a83e0638b5d399ef8702d05a0d27c88ddfd603c
17,23,4096,94208,4.441752422233,1080,937,1037,1042,105,0.000000000000,91.793744827114,7a8fff6ed3a599958619d3a952ec7369f5aae46a6e934987aaf41ea0c08d8749
17,24,4096,98304,4.432259516579,1094,992,1046,964,109,0.000000000000,92.218424235655,80bbcd8539dca5f1efdfa353698432738a572ea6034a783ea67305a8e8c5003b
17,25,4096,102400,4.434190633504,1077,983,1052,984,105,0.000000000000,92.335186745075,7231ce6c2e1a73b9e957feca6dc931a9b71573455a9444fb19fbc75f7e1425bb
17,26,4096,106496,4.437117186524,1060,968,1094,974,103,0.000000000000,92.541589142142,7b61888a5ba228aa87457ca1b01b1c813014ae2b9889ec1d9477d4093e4221c8
17,27,4096,110592,4.435974926400,1069,1005,985,1037,106,0.000000000000,92.636542630287,4ba868aa6e14441b4c1da608e183cc65398b5f7966a3a1142f5fbfd8e6541cc6
17,28,4096,114688,4.438038995916,1099,978,989,1030,104,0.000000000000,92.981542340130,e37b6a519287fa28ee2fc8a2d35ff282d97d19b8a53985400280ce5f26691922
17,29,4096,118784,4.441695741311,1033,1034,1029,1000,109,0.000000000000,93.226127912696,228b9eb2a55131de6aa390d8dfc384640fd442c7ff8d7674bf9e61477e682a81
