request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.153967,keyaware,mesh9,3,1,0,"[3-0-1]",2,42,3.21103,0.97,0,2,0.05,1,0
1,0.218272,keyaware,mesh9,0,8,0,"[0-3-6-7-4-5-8]",6,124,9.99056,0.906736,0,6,0.05,2,0
2,0.223059,keyaware,mesh9,6,2,1,"[]",0,0,0,0,0,0,0.05,2,1
3,0.284644,keyaware,mesh9,6,3,0,"[6-3]",1,20,1.68826,0.92014,0,1,0.05,3,1
4,0.679845,keyaware,mesh9,1,0,0,"[1-0]",1,22,1.61449,0.97,0,1,0.05,4,1
5,0.698423,keyaware,mesh9,0,6,1,"[]",0,0,0,0,0,0,0.05,4,2
6,0.917723,keyaware,mesh9,3,6,0,"[3-6]",1,20,1.59654,0.975,0.00775194,1,0.05,5,2
7,1.01752,keyaware,mesh9,0,8,0,"[0-3-6-7-8]",4,84,6.42205,0.97,0.0153846,4,0.05,6,2
8,1.11336,keyaware,mesh9,2,7,0,"[2-5-8-7]",3,62,4.80756,0.97,0.00775194,3,0.05,7,2
9,1.14996,keyaware,mesh9,6,0,1,"[]",0,0,0,0,0,0,0.05,7,3
10,1.16729,keyaware,mesh9,1,2,1,"[]",0,0,0,0,0,0,0.05,7,4
11,1.20635,keyaware,mesh9,5,7,1,"[]",0,0,0,0,0,0,0.05,7,5
12,1.2315,keyaware,mesh9,3,8,1,"[]",0,0,0,0,0,0,0.05,7,6
13,1.32367,keyaware,mesh9,6,4,0,"[6-3-4]",2,42,3.21103,0.97,0.00775194,2,0.05,8,6
14,1.39295,keyaware,mesh9,2,3,0,"[2-5-4-3]",3,64,4.92695,0.910293,0.00775194,3,0.05,9,6
15,1.42686,keyaware,mesh9,8,6,1,"[]",0,0,0,0,0,0,0.05,9,7
16,1.5548,keyaware,mesh9,6,0,0,"[6-3-0]",2,40,3.19307,0.975,0.0153846,2,0.05,10,7
