request_id,time_s,algorithm,topology,src,dst,blocked,path,hops,distance_km,composite_cost,bottleneck_fidelity,max_utilization,keys_consumed,decision_latency_ms,served_total,blocked_total
0,0.175877,ga_tcheby_proxy,mesh9,0,3,0,"[0-3]",1,20,1.59654,0.975,0,1,0.5,1,0
1,0.564601,ga_tcheby_proxy,mesh9,1,3,0,"[1-4-3]",2,42,3.21103,0.97,0,2,0.5,2,0
2,0.586221,ga_tcheby_proxy,mesh9,8,1,1,"[]",0,0,0,0,0,0,0.5,2,1
3,0.776525,ga_tcheby_proxy,mesh9,1,4,0,"[1-4]",1,20,1.59654,0.975,0.00775194,1,0.5,3,1
4,0.861477,ga_tcheby_proxy,mesh9,3,8,0,"[3-6-7-8]",3,64,4.82552,0.97,0,3,0.5,4,1
5,0.864415,ga_tcheby_proxy,mesh9,2,8,0,"[2-5-8]",2,40,3.35442,0.926282,0,2,0.5,5,1
6,1.42633,ga_tcheby_proxy,mesh9,2,8,0,"[2-5-8]",2,40,3.19307,0.975,0.00775194,2,0.5,6,1
7,1.6586,ga_tcheby_proxy,mesh9,7,6,0,"[7-6]",1,22,1.61449,0.97,0,1,0.5,7,1
8,1.73139,ga_tcheby_proxy,mesh9,2,3,0,"[2-5-4-3]",3,64,4.84345,0.958878,0.0153846,3,0.5,8,1
9,1.90374,ga_tcheby_proxy,mesh9,5,3,0,"[5-4-3]",2,44,3.22898,0.97,0.0153846,2,0.5,9,1
10,2.18057,ga_tcheby_proxy,mesh9,2,5,0,"[2-5]",1,20,1.59654,0.975,0.0229008,1,0.5,10,1
11,2.53318,ga_tcheby_proxy,mesh9,8,3,0,"[8-7-6-3]",3,64,4.82552,0.97,0.00775194,3,0.5,11,1
12,2.54159,ga_tcheby_proxy,mesh9,8,7,1,"[]",0,0,0,0,0,0,0.5,11,2
13,2.55499,ga_tcheby_proxy,mesh9,3,7,1,"[]",0,0,0,0,0,0,0.5,11,3
14,2.63247,ga_tcheby_proxy,mesh9,2,4,0,"[2-1-4]",2,42,3.21103,0.97,0.0153846,2,0.5,12,3
15,2.69962,ga_tcheby_proxy,mesh9,8,6,0,"[8-5-4-7-6]",4,84,6.629,0.900545,0.0153846,4,0.5,13,3
