topology,nodes,representative_rate,algorithm,blocking_probability,blocking_ci95,mean_bottleneck_fidelity,fidelity_ci95,mean_hops,mean_distance_km
mesh9,9,10,distance,0.4430133333333333,0.0015580482660646224,0.9659749541033331,6.248546727678208e-05,1.1285033333333334,23.677266666666664
mesh9,9,10,keyaware,0.4430133333333333,0.0015580482660646224,0.9665570492974552,6.441355344450509e-05,1.1285033333333334,23.67728
mesh9,9,10,random,0.4416366666666667,0.001761005726056297,0.9638867549222343,5.548344599386478e-05,2.53996,53.31287333333333
mesh9,9,10,ga_tcheby_proxy,0.44255666666666665,0.0017475191709163903,0.9666326654436872,7.664501953261346e-05,1.1274666666666666,23.655966666666664
mesh16,16,10,distance,0.4802266666666667,0.002087191537087678,0.9662925797934502,9.033186460710593e-05,1.4054566666666666,32.97214666666667
mesh16,16,10,keyaware,0.4802266666666667,0.0020875511556445628,0.967539692438487,7.586711043071883e-05,1.4054399999999998,32.97177
mesh16,16,10,random,0.48097666666666666,0.0020376434862012156,0.963419765795773,0.00010282511119714338,2.8010366666666666,65.75929666666667
mesh16,16,10,ga_tcheby_proxy,0.48007000000000005,0.0017083045856173828,0.9675713855582845,7.632915852521923e-05,1.3979466666666667,32.80448666666667
irregular12,12,10,distance,0.5052233333333334,0.001852130763570431,0.9611322745091292,0.00012028029902915047,1.1089,27.287456666666667
irregular12,12,10,keyaware,0.5052233333333334,0.001852130763570431,0.9614692071232466,0.00011816159359092165,1.1088666666666667,27.300296666666668
irregular12,12,10,random,0.5054666666666666,0.0016125741008249338,0.9525071527175711,0.00011415893963906755,2.3663466666666664,60.15435333333333
irregular12,12,10,ga_tcheby_proxy,0.5062433333333334,0.0013994575853451495,0.9606670736878146,8.530457558756632e-05,1.10608,27.69632
