comparison,metric,heldout_pairs_total,joint_success_pairs,baseline_mean,h4_mean,mean_paired_difference_h4_minus_baseline,bootstrap_95ci_low,bootstrap_95ci_high,h4_higher_pairs,h4_lower_pairs,ties,exact_two_sided_sign_p,paired_cohen_dz,selected_path_changes_on_joint_success,baseline_heldout_success_rows,h4_heldout_success_rows,success_rate_difference_percentage_points,interpretation_rule
H4_vs_H2,bottleneck_fidelity_on_joint_success,64,58,61640.034483,61726.500000,86.465517,-23.517241,228.224138,5,1,52,0.218750000000,0.176084,6,58,58,0.000000,positive fidelity difference favors H4; no causal or universal superiority claim
H4_vs_H3,bottleneck_fidelity_on_joint_success,64,58,61804.551724,61726.500000,-78.051724,-242.534483,79.931034,2,5,51,0.453125000000,-0.126716,7,58,58,0.000000,positive fidelity difference favors H4; no causal or universal superiority claim
