mode,controller,fpga,clock_constraint_mhz,achieved_fmax_mhz,minimum_period_ns,period_margin_ns,timing_errors,timing_score,mean_cycles_all_84,mean_cycles_normal_76,mean_kernel_latency_ns_normal,mean_kernel_latency_us_normal,mean_decisions_per_second_normal,slice_registers,slice_luts,occupied_slices,bram,dsp,records,exact_rows,exact_fields,mismatches,ok_rows,no_path_rows,invalid_rows,profile0_valid_decisions,profile1_valid_decisions,profile2_valid_decisions,profile3_valid_decisions,profile_transitions,dwell_runs,minimum_dwell,maximum_dwell,bitstream_sha256,raw_uart_sha256,display,LD0,LD1
H0,feasible shortest-distance,XC6SLX16-2-CSG324,100.000,118.948,8.407,1.593,0,0,1.964286,2.000000,20.000000,0.020000,50000000.000,493,801,301,0,0,84,84,756,0,76,5,3,81,0,0,0,0,1,81,81,63f265b73df4ad4f09f50bdb1d4dcdf35f4edb0f267bb8f3ea9744b4f592ced8,c99628496d668e3a81f204a40f8b6f8fedb6416e688066e841a1463d1c6ab124,0084,ON,OFF
H1,fixed key-aware,XC6SLX16-2-CSG324,100.000,107.538,9.299,0.701,0,0,182.940476,201.763158,2017.631579,2.017632,495630.625,1000,1484,589,0,0,84,84,756,0,76,5,3,81,0,0,0,0,1,81,81,98156a9674992f7414b93b15aba5a60eff8ed5957a50ee07a7c73fccf61caa23,ab6010229b166e55d7056253a6ebd848b10b3c1e7d2ded0903fcbb0523780787,1084,ON,OFF
H2,fixed QFlow,XC6SLX16-2-CSG324,100.000,102.838,9.724,0.276,0,0,183.904762,202.763158,2027.631579,2.027632,493186.243,1085,1650,649,0,0,84,84,756,0,76,5,3,81,0,0,0,0,1,81,81,8e7df4879dfd90fa9ed2df62755f099474f83681d082154b25e2b64fc4be8f8b,49a9d37a0355974c9f82bb90194403744159a6369ba56f6778a246c7f37563b3,2084,ON,OFF
H3,threshold/rule adaptive,XC6SLX16-2-CSG324,100.000,102.648,9.742,0.258,0,0,183.904762,202.763158,2027.631579,2.027632,493186.243,1097,1836,645,0,0,84,84,756,0,76,5,3,24,36,18,3,44,45,1,7,b0fdbb435b73f95b392d5ca9c20df25a0c544a0154f557425d4f9a7c7f1e7b95,3c5b2bc97ffa8dd24a6cfd1556b643166e121f004b81d4332786284c3874af17,3084,ON,OFF
H4,reinforcement-learned adaptive,XC6SLX16-2-CSG324,100.000,102.020,9.802,0.198,0,0,185.833333,204.763158,2047.631579,2.047632,488369.104,1156,1706,677,0,0,84,84,756,0,76,5,3,42,11,18,10,24,25,1,7,d0ddd6c2e8a0deab72a508a045d4727025954efafe9df962fde6c7e9534e9fe1,70096b865631f2ce006d7b1b95f2c4e87155106ca84e531855318bb45821a500,4084,ON,OFF
