check_item,quantity_checked,metric,result,status
exp(-x) over [0,8] with L=256,max abs. error bound,<= 1.22e-4,Analytic
stored fidelity Q0.16,max abs. deviation,2 LSB,Measured,
composite edge weight Q16.16,max deviation,0 LSB,Measured,
integrated output fields,hardware-vs-reference mismatch rate,0% observed,Measured,
Xorshift128+ 10k-sample check,statistical sanity,Pass,Measured,
